PHONE_NUMBER,ACTIVATION_DATE,DEACTIVATION_DATE
9,1995-09-25,1995-10-03
9,1995-10-03,1995-10-13
9,1995-10-13,1995-11-04
9,1995-11-04,1995-11-19
9,1995-11-19,1995-11-20
9,1995-11-20,1995-12-05
9,1995-12-05,1995-12-14
9,1995-12-14,1996-01-02
9,1996-01-02,1996-01-19
9,1996-01-19,1996-02-07
9,1996-05-07,1996-05-17
9,1996-05-17,1996-05-26
9,1996-05-26,1996-06-08
9,1996-06-08,1996-06-20
9,1996-06-20,1996-07-20
9,1996-07-20,1996-08-01
9,1996-08-01,1996-08-27
9,1996-08-27,1996-09-12
9,1996-09-12,1996-09-24
9,1996-09-24,1996-10-24
9,1997-01-24,1997-02-19
9,1997-02-19,1997-03-20
9,1997-03-20,1997-03-22
9,1997-03-22,1997-04-17
9,1997-04-17,1997-04-29
9,1997-04-29,1997-05-08
9,1997-05-08,1997-06-02
9,1997-06-02,1997-06-05
9,1997-06-05,1997-06-16
9,1997-06-16,1997-07-03
9,1997-10-03,1997-10-19
9,1997-10-19,1997-11-14
9,1997-11-14,1997-11-30
9,1997-11-30,1997-12-13
9,1997-12-13,1997-12-20
9,1997-12-20,1997-12-22
9,1997-12-22,1997-12-25
9,1997-12-25,1997-12-30
9,1997-12-30,1998-01-25
9,1998-01-25,1998-02-08
9,1998-06-08,1998-06-23
9,1998-06-23,1998-07-14
9,1998-07-14,1998-08-12
9,1998-08-12,1998-09-01
9,1998-09-01,1998-09-26
9,1998-09-26,1998-10-13
9,1998-10-13,1998-10-20
9,1998-10-20,1998-11-08
9,1998-11-08,1998-12-03
9,1998-12-03,1998-12-07
9,1999-04-07,1999-04-16
9,1999-04-16,1999-05-16
9,1999-05-16,1999-05-29
9,1999-05-29,1999-06-12
9,1999-06-12,1999-07-06
9,1999-07-06,1999-07-27
9,1999-07-27,1999-08-16
9,1999-08-16,1999-09-10
9,1999-09-10,1999-09-13
9,1999-09-13,1999-09-15
9,1999-09-15,1999-10-12
9,1999-10-12,2017-12-30
